2022-04-22 00:58:26,678: 'n'
2022-04-22 00:58:26,796: 'b'
2022-04-22 00:58:26,864: 'v'
2022-04-22 00:58:27,047: 'g'
2022-04-22 00:58:27,064: 'b'
2022-04-22 00:58:27,106: 'h'
2022-04-22 00:58:27,125: 'n'
2022-04-22 00:58:27,236: 'i'
2022-04-22 00:58:27,287: 'j'
2022-04-22 00:58:27,324: 'u'
2022-04-22 00:58:27,385: 'v'
2022-04-22 00:58:27,399: 'h'
2022-04-22 00:58:27,431: 'f'
2022-04-22 00:58:27,526: 'g'
2022-04-22 00:58:27,549: 'b'
2022-04-22 00:58:27,571: 'h'
2022-04-22 00:58:27,604: 'n'
2022-04-22 00:58:27,800: 'g'
2022-04-22 00:58:27,804: 'h'
2022-04-22 00:58:27,835: 'f'
2022-04-22 00:58:27,923: 'g'
2022-04-22 00:58:27,963: 'h'
2022-04-22 00:58:40,900: 'k'
2022-04-22 00:58:41,194: 'h'
2022-04-22 00:58:41,469: 'a'
2022-04-22 00:58:41,643: 'l'
2022-04-22 00:58:41,842: 'i'
2022-04-22 00:58:41,999: 'k'
2022-04-22 00:58:42,137: 'o'
2022-04-22 00:58:43,092: 'v'
2022-04-22 00:58:44,994: Key.ctrl_l
2022-04-22 00:58:45,173: Key.f5
2022-04-22 00:59:02,257: 's'
2022-04-22 00:59:02,753: 'o'
2022-04-22 00:59:03,145: 'n'
2022-04-22 00:59:03,709: Key.backspace
2022-04-22 00:59:04,128: 'm'
2022-04-22 00:59:04,221: 'e'
2022-04-22 00:59:04,742: 't'
2022-04-22 00:59:04,909: 'e'
2022-04-22 00:59:05,441: 'x'
2022-04-22 00:59:05,585: 't'
2022-04-22 00:59:06,650: Key.enter
2022-04-22 00:59:18,311: Key.shift
2022-04-22 00:59:18,485: 'M'
2022-04-22 00:59:18,896: 'y'
2022-04-22 00:59:19,075: Key.space
2022-04-22 00:59:19,282: 'n'
2022-04-22 00:59:19,773: 'a'
2022-04-22 00:59:19,904: 'm'
2022-04-22 00:59:20,026: 'e'
2022-04-22 00:59:20,112: Key.space
2022-04-22 00:59:20,895: 'i'
2022-04-22 00:59:21,349: 's'
2022-04-22 00:59:21,460: Key.space
2022-04-22 00:59:21,620: Key.shift
2022-04-22 00:59:21,812: 'M'
2022-04-22 00:59:22,178: 'a'
2022-04-22 00:59:22,440: 'g'
2022-04-22 00:59:22,526: 'a'
2022-04-22 00:59:28,841: Key.ctrl_l
2022-04-22 00:59:29,046: Key.f5
2022-04-22 00:59:29,049: <53>
2022-04-22 00:59:31,676: Key.ctrl_l
2022-04-22 00:59:32,628: Key.f5
